Vertice, Descoberto, Finalizado
0,1,19998
1,9,19990
2,1119,18876
3,1243,18752
4,8,19991
5,132,19867
6,1664,18329
7,886,19109
8,728,19267
9,816,19179
10,167,19832
11,389,19610
12,572,19423
13,1287,18708
14,3174,16809
15,1163,18832
16,3764,16209
17,47,19952
18,1181,18814
19,222,19777
20,3054,16929
21,3519,16458
22,105,19894
23,1480,18513
24,1058,18937
25,382,19617
26,2838,17147
27,302,19697
28,513,19482
29,393,19606
30,840,19155
31,1012,18983
32,431,19566
33,230,19769
34,4938,14997
35,3203,16780
36,2431,17560
37,2312,17679
38,303,19696
39,494,19501
40,469,19526
41,1454,18539
42,858,19137
43,404,19595
44,3321,16656
45,484,19511
46,1063,18932
47,179,19820
48,799,19196
49,4306,15659
50,1015,18980
51,107,19892
52,82,19917
53,736,19259
54,309,19690
55,261,19738
56,1074,18921
57,1005,18990
58,137,19862
59,770,19225
60,168,19831
61,40,19959
62,841,19154
63,489,19506
64,3193,16790
65,1443,18550
66,2167,17824
67,1349,18644
68,26,19973
69,948,19047
70,1294,18701
71,166,19833
72,178,19821
73,1646,18347
74,759,19236
75,1385,18608
76,24,19975
77,1582,18411
78,1816,18177
79,553,19442
80,2256,17735
81,1621,18372
82,1564,18429
83,811,19184
84,817,19178
85,643,19352
86,955,19040
87,488,19507
88,2632,17357
89,1090,18905
90,963,19032
91,834,19161
92,1685,18308
93,483,19512
94,1395,18598
95,716,19279
96,133,19866
97,935,19060
98,50,19949
99,211,19788
100,187,19812
101,101,19898
102,1541,18452
103,2576,17413
104,653,19342
105,1449,18544
106,387,19612
107,3208,16775
108,475,19520
109,3129,16854
110,373,19626
111,1203,18792
112,541,19454
113,3,19996
114,1139,18856
115,1370,18623
116,57,19942
117,1360,18633
118,138,19861
119,466,19529
120,271,19728
121,1779,18214
122,1195,18800
123,1381,18612
124,1571,18422
125,772,19223
126,1127,18868
127,911,19084
128,272,19727
129,960,19035
130,250,19749
131,274,19725
132,85,19914
133,1661,18332
134,2465,17524
135,312,19687
136,350,19649
137,121,19878
138,738,19257
139,3475,16502
140,100,19899
141,968,19027
142,14,19985
143,749,19246
144,246,19753
145,745,19250
146,148,19851
147,134,19865
148,1319,18676
149,358,19641
150,340,19659
151,2218,17773
152,3568,16407
153,1908,18085
154,104,19895
155,1007,18988
156,564,19431
157,4323,15642
158,1198,18797
159,60,19939
160,999,18996
161,390,19609
162,130,19869
163,1674,18319
164,1913,18080
165,434,19563
166,1099,18896
167,675,19320
168,229,19770
169,670,19325
170,1304,18691
171,932,19063
172,781,19214
173,403,19596
174,2433,17558
175,203,19796
176,501,19494
177,6480,13301
178,98,19901
179,112,19887
180,1382,18611
181,472,19523
182,193,19806
183,43,19956
184,197,19802
185,983,19012
186,1493,18500
187,2136,17857
188,969,19026
189,429,19568
190,959,19036
191,1045,18950
192,1555,18438
193,1317,18678
194,335,19664
195,31,19968
196,1137,18858
197,3430,16547
198,595,19400
199,2407,17584
200,668,19327
201,352,19647
202,449,19548
203,1753,18240
204,267,19732
205,1073,18922
206,241,19758
207,706,19289
208,1178,18817
209,281,19718
210,1118,18877
211,1087,18908
212,758,19237
213,869,19126
214,90,19909
215,1116,18879
216,1782,18211
217,294,19705
218,72,19927
219,1035,18960
220,1102,18893
221,512,19483
222,1657,18336
223,2,19997
224,425,19572
225,103,19896
