Vertice, Descoberto, Finalizado
0,1,7694
1,9,7686
2,1119,6576
3,1243,6452
4,8,7687
5,132,7563
6,1664,6031
7,886,6809
8,728,6967
9,816,6879
10,167,7528
11,389,7306
12,572,7123
13,1287,6408
14,3174,4521
15,1163,6532
16,3764,3931
17,47,7648
18,1181,6514
19,222,7473
20,3054,4641
21,3519,4176
22,105,7590
23,1480,6215
24,1058,6637
25,382,7313
26,2838,4857
27,302,7393
28,513,7182
29,393,7302
30,840,6855
31,1012,6683
32,431,7264
33,230,7465
34,0,0
35,3203,4492
36,2431,5264
37,2312,5383
38,303,7392
39,494,7201
40,469,7226
41,1454,6241
42,858,6837
43,404,7291
44,3321,4374
45,484,7211
46,1063,6632
47,179,7516
48,799,6896
49,0,0
50,1015,6680
51,107,7588
52,82,7613
53,736,6959
54,309,7386
55,261,7434
56,1074,6621
57,1005,6690
58,137,7558
59,770,6925
60,168,7527
61,40,7655
62,841,6854
63,489,7206
64,3193,4502
65,1443,6252
66,2167,5528
67,1349,6346
68,26,7669
69,948,6747
70,1294,6401
71,166,7529
72,178,7517
73,1646,6049
74,759,6936
75,1385,6310
76,24,7671
77,1582,6113
78,1816,5879
79,553,7142
80,2256,5439
81,1621,6074
82,1564,6131
83,811,6884
84,817,6878
85,643,7052
86,955,6740
87,488,7207
88,2632,5063
89,1090,6605
90,963,6732
91,834,6861
92,1685,6010
93,483,7212
94,1395,6300
95,716,6979
96,133,7562
97,935,6760
98,50,7645
99,211,7484
100,187,7508
101,101,7594
102,1541,6154
103,2576,5119
104,653,7042
105,1449,6246
106,387,7308
107,3208,4487
108,475,7220
109,3129,4566
110,373,7322
111,1203,6492
112,541,7154
113,3,7692
114,1139,6556
115,1370,6325
116,57,7638
117,1360,6335
118,138,7557
119,466,7229
120,271,7424
121,1779,5916
122,1195,6500
123,1381,6314
124,1571,6124
125,772,6923
126,1127,6568
127,911,6784
128,272,7423
129,960,6735
130,250,7445
131,274,7421
132,85,7610
133,1661,6034
134,2465,5230
135,312,7383
136,350,7345
137,121,7574
138,738,6957
139,3475,4220
140,100,7595
141,968,6727
142,14,7681
143,749,6946
144,246,7449
145,745,6950
146,148,7547
147,134,7561
148,1319,6376
149,358,7337
150,340,7355
151,2218,5477
152,3568,4127
153,1908,5787
154,104,7591
155,1007,6688
156,564,7131
157,0,0
158,1198,6497
159,60,7635
160,999,6696
161,390,7305
162,130,7565
163,1674,6021
164,1913,5782
165,434,7261
166,1099,6596
167,675,7020
168,229,7466
169,670,7025
170,1304,6391
171,932,6763
172,781,6914
173,403,7292
174,2433,5262
175,203,7492
176,501,7194
177,0,0
178,98,7597
179,112,7583
180,1382,6313
181,472,7223
182,193,7502
183,43,7652
184,197,7498
185,983,6712
186,1493,6202
187,2136,5559
188,969,6726
189,429,7266
190,959,6736
191,1045,6650
192,1555,6140
193,1317,6378
194,335,7360
195,31,7664
196,1137,6558
197,3430,4265
198,595,7100
199,2407,5288
200,668,7027
201,352,7343
202,449,7246
203,1753,5942
204,267,7428
205,1073,6622
206,241,7454
207,706,6989
208,1178,6517
209,281,7414
210,1118,6577
211,1087,6608
212,758,6937
213,869,6826
214,90,7605
215,1116,6579
216,1782,5913
217,294,7401
218,72,7623
219,1035,6660
220,1102,6593
221,512,7183
222,1657,6038
223,2,7693
224,425,7270
225,103,7592
226,937,6758
227,2535,5160
228,879,6816
229,149,7546
230,2075,5620
231,3277,4418
232,1882,5813
233,1253,6442
234,2298,5397
235,748,6947
236,143,7552
237,906,6789
238,1288,6407
