Custo AGM:2142.341522436307
Vertice, Adjacente
0,771
771,390
0,826
826,124
124,677
124,104
0,93
93,185
104,11
11,958
958,331
331,980
980,831
831,478
478,899
899,85
831,808
478,611
958,766
766,822
766,775
775,811
811,18
18,952
811,205
952,863
863,179
179,387
387,333
863,114
114,78
78,832
78,874
874,567
567,681
205,568
568,208
208,36
36,773
36,519
519,609
609,917
917,428
428,248
428,941
941,549
549,168
941,848
205,178
775,982
952,234
848,148
148,39
39,725
725,516
725,182
148,32
32,267
267,14
14,409
32,598
409,618
409,891
891,145
145,101
145,723
101,347
347,284
182,882
882,356
882,585
267,872
872,829
829,991
991,939
939,69
69,824
356,57
57,690
829,728
69,763
763,281
281,464
464,108
108,947
947,155
155,500
500,508
464,664
568,308
308,374
308,614
374,309
374,633
633,860
633,26
26,165
165,666
728,694
694,471
471,170
170,560
560,667
667,780
780,499
499,73
73,754
754,312
312,380
780,225
225,189
189,278
278,191
191,729
729,858
858,977
977,475
977,427
427,386
278,672
672,213
386,981
981,801
189,896
896,330
330,673
896,385
385,836
836,210
210,590
728,82
611,753
73,809
809,569
809,408
408,466
466,653
653,81
81,627
627,349
349,435
627,203
435,262
262,228
228,543
543,787
787,472
472,643
472,260
260,517
435,914
914,868
868,650
650,799
799,217
217,518
228,304
304,503
503,399
787,286
286,579
579,461
461,961
961,23
518,255
255,456
456,258
258,130
130,537
537,934
130,426
426,72
72,77
77,993
993,125
77,285
285,190
993,317
190,660
660,823
823,251
317,619
619,97
97,306
306,274
274,642
642,995
274,30
426,487
487,637
637,122
122,875
875,576
122,326
326,474
474,839
839,925
925,467
925,956
956,866
866,607
467,296
296,177
607,171
171,649
649,817
817,971
487,989
989,359
359,706
706,984
706,707
984,758
758,470
470,287
287,216
287,136
136,5
5,620
620,476
476,127
127,123
123,792
123,659
5,201
201,463
476,156
463,515
515,916
916,804
916,869
869,810
810,338
338,142
810,115
115,724
115,636
338,132
132,750
750,143
143,31
31,645
645,350
350,845
31,936
936,913
913,902
902,716
716,91
91,837
837,785
785,344
142,138
138,691
785,320
620,793
845,481
320,847
847,974
847,733
733,443
443,634
251,280
280,571
571,295
295,552
552,603
603,507
507,841
841,233
233,53
507,587
587,79
974,109
