Vertice, Pai, Distancia
0,1384,4
1,1580,5
2,6137,5
3,8716,4
4,539,5
5,2642,5
6,9807,5
7,6366,4
8,2263,4
9,1652,5
10,6265,4
11,1245,5
12,7498,5
13,3279,5
14,5502,4
15,2119,4
16,3827,4
17,1248,3
18,4968,4
19,5136,4
20,6532,4
21,5955,4
22,1071,5
23,7176,4
24,1518,5
25,7676,5
26,7498,5
27,1180,4
28,5304,4
29,1144,4
30,8913,4
31,6500,5
32,1961,5
33,804,4
34,8397,5
35,null,0
36,9500,4
37,5464,4
38,2865,4
39,4445,5
40,3850,5
41,6519,5
42,6804,4
43,173,5
44,5481,4
45,2916,4
46,3150,5
47,72,5
48,6360,4
49,7498,5
50,1180,4
51,3996,5
52,9585,5
53,3606,3
54,3944,5
55,3227,5
56,9762,4
57,8326,4
58,643,4
59,6104,4
60,6104,4
61,2681,5
62,2902,4
63,87,5
64,6653,4
65,3120,5
66,8994,3
67,2452,5
68,4481,4
69,2859,5
70,3903,5
71,3798,3
72,1540,4
73,810,5
74,9642,5
75,4908,5
76,592,5
77,7744,4
78,7010,5
79,6458,5
80,1167,5
81,2696,4
82,5163,5
83,3879,5
84,3269,4
85,4822,4
86,9208,4
87,6532,4
88,4261,4
89,2121,5
90,779,5
91,3579,5
92,8348,5
93,749,5
94,5983,4
95,7802,5
96,3412,4
97,2763,5
98,2315,4
99,842,3
100,2333,4
101,121,5
102,6284,5
103,4121,5
104,7839,4
105,2500,4
106,2035,4
107,6360,4
108,4558,5
109,3623,5
110,3311,5
111,1763,5
112,758,4
113,6703,5
114,953,5
115,2294,2
116,5502,4
117,5675,5
118,1613,4
119,6632,5
120,1340,4
121,1899,4
122,1757,5
123,7410,5
124,4996,4
125,6637,5
126,6644,4
127,2358,3
128,4982,5
129,9047,4
130,1064,3
131,9898,4
132,5502,4
133,7909,5
134,9976,4
135,3412,4
136,291,4
137,2533,4
138,4353,4
139,4994,4
140,2166,5
141,7470,5
142,9500,4
143,6337,5
144,6310,5
145,6685,4
146,9317,2
147,8890,4
148,2661,5
149,5586,4
150,450,4
151,5156,4
152,2333,4
153,4188,3
154,6151,5
155,7407,3
156,7601,5
157,7229,4
158,7011,4
159,7271,4
160,4377,5
161,2757,4
162,259,4
163,9514,4
164,4234,5
165,8124,4
166,9023,5
167,2443,5
168,9363,4
169,5534,4
170,1122,4
171,2756,5
172,3225,4
173,6744,4
174,8711,5
175,7774,4
176,35,1
177,7536,5
178,6013,4
179,8418,4
180,8633,4
181,8597,4
182,7210,4
183,2107,5
184,3445,5
185,4857,5
186,1260,4
187,6381,4
188,8229,4
189,1773,5
190,2997,4
191,5035,4
192,8764,5
193,3317,5
194,3811,5
195,8347,2
196,6013,4
197,3746,4
198,7697,4
199,7715,4
200,2903,4
201,7885,4
202,1322,4
203,6901,4
204,2484,5
205,8174,4
206,7368,4
207,7090,5
208,3651,4
209,6859,5
210,6905,4
211,8065,5
212,6623,5
213,8810,5
214,1207,4
215,8811,5
216,3734,4
217,846,4
218,2733,5
219,628,5
220,693,5
221,5446,4
222,2480,5
223,8294,4
224,7011,4
225,8467,4
226,4461,4
227,8719,3
228,3834,5
229,146,3
230,8457,4
231,4698,3
232,2229,5
233,628,5
234,7251,4
235,3334,5
236,8854,4
237,5224,5
238,3037,4
239,5146,5
240,5485,3
241,7384,4
242,6758,3
243,9319,5
244,1595,5
245,2353,4
246,8946,5
247,53,4
248,3872,4
249,7824,4
250,8390,5
251,9701,4
252,4465,4
253,628,5
254,4840,5
255,146,3
256,5064,5
257,5066,5
258,5146,5
259,909,3
260,176,2
261,9479,4
262,6094,4
263,6296,4
264,6548,5
265,5916,4
266,7793,5
267,9856,5
268,754,3
269,7289,5
270,7819,5
271,5442,5
272,9701,4
273,6896,5
274,3897,3
275,8379,4
276,7049,5
277,8335,3
278,9186,4
279,5247,4
280,7401,4
281,9991,5
282,7381,5
283,8349,5
284,8146,4
285,5842,5
286,1739,5
287,8412,5
288,3960,4
289,4061,4
290,8998,5
291,842,3
292,9733,5
293,1355,4
294,5668,4
295,4188,3
296,9351,4
297,159,5
298,1022,4
299,649,4
300,3437,4
301,5947,5
302,6225,4
303,813,5
304,3047,4
305,4336,5
306,8839,4
307,6341,4
308,8418,4
309,4738,4
310,9097,5
311,9617,5
312,6713,5
313,5653,5
314,4061,4
315,4347,4
316,6684,5
317,6879,5
318,4350,4
319,563,4
320,9819,5
321,1853,5
322,2008,5
323,6335,4
324,9186,4
325,5624,5
326,127,4
327,9300,4
328,9864,5
329,536,3
330,9871,5
331,1107,5
332,277,4
333,4587,4
334,9300,4
335,4603,5
336,5393,5
337,9335,4
338,626,5
339,379,4
340,6693,4
341,1454,5
342,9326,4
343,7512,3
344,3443,5
345,483,5
346,4478,4
347,3575,5
348,8057,5
349,6298,4
350,1045,5
351,7909,5
352,5446,4
353,2080,5
354,4968,4
355,9414,4
356,2584,5
357,236,5
358,7526,4
359,4945,4
360,8146,4
361,9484,3
362,2111,4
363,9384,4
364,967,4
365,2344,5
366,5121,4
367,3249,4
368,1718,5
369,4968,4
370,736,5
371,5423,5
372,671,4
373,9571,3
374,3668,6
375,1054,5
376,3960,4
377,696,5
378,6778,5
379,4188,3
380,5509,5
381,6203,4
382,2252,4
383,4466,5
384,3913,4
385,1281,4
386,1844,4
387,6187,5
388,9674,3
389,9411,5
390,8839,4
391,7814,4
392,9142,4
393,2330,4
394,6252,4
395,2598,4
396,6288,5
397,5739,5
398,242,4
399,908,4
400,8124,4
401,2373,4
402,9388,4
403,4560,4
404,6532,4
405,5036,4
406,6341,4
407,9282,4
408,7529,4
409,3897,3
410,823,4
411,9500,4
412,8149,5
413,9423,4
414,105,5
415,8332,3
416,1561,5
417,3630,5
418,4137,5
419,2179,4
420,3388,4
421,3832,5
422,4461,4
423,5546,4
424,799,4
425,2263,4
426,8865,4
427,9172,4
428,9163,5
429,9576,5
430,6822,4
431,3306,3
432,9226,5
433,9240,3
434,2345,5
435,7608,5
436,6134,5
437,1115,5
438,1837,5
439,8122,5
440,2689,4
441,6121,5
442,9961,4
443,7403,5
444,8294,4
445,5247,4
446,6705,5
447,9479,4
448,277,4
449,9508,4
450,9327,3
451,7601,5
452,2106,5
453,5033,5
454,1216,4
455,3946,5
456,7114,5
457,9925,5
458,7347,5
459,1225,3
460,461,5
461,2119,4
462,6434,5
463,6296,4
464,732,4
465,6713,5
466,718,5
467,9472,5
468,8964,4
469,483,5
470,3811,5
471,4250,4
472,4996,4
473,4083,4
474,5776,5
475,5485,3
476,3575,5
477,5425,5
478,9208,4
479,7297,4
480,8985,5
481,3423,4
482,4909,4
483,7302,4
484,539,5
485,6366,4
486,2919,5
487,9426,4
488,667,4
489,6699,5
490,6263,4
491,9947,4
492,153,4
493,8656,5
494,8341,5
495,7174,4
496,7351,4
497,5140,4
498,1703,5
499,5914,4
500,410,5
501,2793,5
502,5141,4
503,6659,4
504,162,5
505,3160,4
506,4968,4
507,5006,3
508,9294,5
509,4353,4
510,4587,4
511,3275,5
512,8900,5
513,1324,4
514,3025,4
515,7889,5
516,9327,3
517,4695,4
518,806,4
519,6879,5
520,9701,4
521,1643,3
522,6054,4
523,2555,4
524,9033,4
525,8254,5
526,4036,4
527,9208,4
528,2392,4
529,689,4
530,4834,5
531,8597,4
532,8557,5
533,6320,4
534,4785,4
535,2119,4
536,8347,2
537,4603,5
538,5674,4
539,5955,4
540,8229,4
541,6637,5
542,8756,5
543,1340,4
544,507,4
545,261,5
